2026-02-11 13:20:10 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=5
2026-02-11 13:20:10 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=76
2026-02-11 13:20:47 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=26
2026-02-11 13:20:48 | XMRUSDT | Blocked by: orderbook_quality | spread=0.01%, vol=5
2026-02-11 13:20:48 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=59
2026-02-11 13:20:48 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=2
2026-02-11 13:20:48 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=100
2026-02-11 13:20:48 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=43
2026-02-11 13:21:23 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=60
2026-02-11 13:21:23 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=9
2026-02-11 13:21:23 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=40
2026-02-11 13:21:23 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=102
2026-02-11 13:21:58 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=42
2026-02-11 13:21:58 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=20
2026-02-11 13:22:34 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=24
2026-02-11 13:22:34 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=4
2026-02-11 13:22:34 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=94
2026-02-11 13:23:09 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=3
2026-02-11 13:23:09 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.08%, vol=39
2026-02-11 13:23:09 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=37
2026-02-11 13:23:09 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=19
2026-02-11 13:23:09 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=46
2026-02-11 13:23:09 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=8
2026-02-11 13:23:10 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=115
2026-02-11 13:23:46 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=5
